Endpoint Name,Site,Last Logged In User,OS Username,Group,Tags,Domain,Account,Console Visible IP,Agent Version,Serial Number,Subscribed On,Device Type,Model Name,OS,OS Version,Architecture,Memory,CPU Count,CPU Type,Core Count,Management Connectivity,Network Status,Update Status,Scan Status,Last Reported IP,Pending Uninstall,Disk Encryption,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Operational State,Operational State Expiration,Last Reboot Date,Installer Type,Reboot Required due to Threat,User Action Required,Remote Profiling State,Remote Profiling Expiration,Storage Type,Storage Name,Cloud Account,Cloud Location,Cloud Network,Cloud Image,Cloud Tags,Cloud Instance Size,Cloud Instance ID,Cloud Security Group,Cluster Name,K8s Type,K8s Version,Agent Namespace,Agent Pod Name,K8s Node Name,K8s Node Labels,Is Uninstalled,Decommissioned at
SW-RND-CAD02,국내 법인,admin,N/A,PC Group,공용PC : R&D,WORKGROUP,SW Hitech,175.200.199.2,22.2.5.806,5CD8458RM6,2023-02-28 0:28,laptop,HP - HP ZBook 17 G5,Windows,"Windows 10 Pro for Workstations,19044",64 bit,16 GB,12,Intel(R) Xeon(R) E-2176M  CPU @ 2.70GHz,12,Online,Connected,Up to date,"Completed( Feb 28, 2023 01:45:44 AM )",192.9.214.155,No,Off,3ed2f3976bc942dc9b43a0c7e7d906eb,1.63E+18,N/A,N/A,Not disabled,N/A,2023-03-28 6:13,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-PP-NT062,국내 법인,kim1226,N/A,PC Group,성우혁신사관학교 : 이도윤,SWHITECH,SW Hitech,175.200.199.2,22.2.5.806,0ULF91KK100016,2023-02-28 0:34,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 370E5L/371B5L",Windows,"Windows 10 Pro,19044",64 bit,8 GB,4,Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz,4,Online,Connected,Up to date,"Completed( Feb 28, 2023 03:51:41 AM )",192.9.40.29,No,Off,57d7a3cd608f416f9449813afd8a37b8,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-23 22:03,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW223010064NT,국내 법인,ayoungjeong,N/A,PC Group,원가1팀 : 정아영,SWHITECH,SW Hitech,175.200.199.2,22.2.5.806,KPV799YT90001GN,2023-02-28 0:35,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 550XDA",Windows,"Windows 10 Pro,19044",64 bit,16 GB,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Mar 12, 2023 10:46:50 PM )",192.9.36.158,No,Off,1181380373454c9f9073eac12ef9ac73,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-25 22:26,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SWABM-N05,국내 법인,lhj4864,N/A,PC Group,아산물류관리팀 : 이호진,SWHITECH,SW Hitech,59.25.125.210,22.2.5.806,KPV799YT40007EZ,2023-02-28 0:35,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 550XDA",Windows,"Windows 10 Pro,19044",64 bit,16 GB,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Feb 28, 2023 01:31:37 AM )",192.9.204.128,No,Off,464d69b7832f48dc94b4b17acad274a2,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-25 22:41,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-MD-DT031,국내 법인,jungcy,N/A,PC Group,글로벌개발팀 : 정창영,SWHITECH,SW Hitech,175.200.199.2,22.2.5.806,0YNN91GM400001,2023-02-28 0:52,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 370E5M/371B5M/371B5S",Windows,"Windows 10 Pro,19044",64 bit,8 GB,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Feb 28, 2023 01:26:17 AM )",192.9.21.24,No,Off,0e7e43ecd96a475492dcdf06c90666eb,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-24 22:49,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW219010067NT,국내 법인,seokhwa.lee,N/A,PC Group,보전1팀 : 이석화,SWHITECH,SW Hitech,175.200.199.2,22.2.5.806,KPV799YRC0000F,2023-02-28 0:59,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 550XDA",Windows,"Windows 10 Pro,19045",64 bit,8 GB,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Feb 28, 2023 05:25:30 AM )",192.9.35.125,No,Off,9dad95891c3d4f4ab6c5df185018da88,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-25 22:42,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-QS-NT094,국내 법인,seung2664,N/A,PC Group,품질보증팀 : 손승환,SWHITECH,SW Hitech,175.200.199.2,22.2.5.806,KN2S99YR30000L,2023-02-28 0:59,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 550XDA",Windows,"Windows 10 Pro,19044",64 bit,8 GB,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Feb 28, 2023 02:12:35 AM )",192.9.35.45,No,Off,5e0b275d2d06469c8388ec8fec1a10fa,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-25 22:25,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-AC-DT065,국내 법인,seunghyunlee,N/A,PC Group,재경3팀 : 이승현,SWHITECH,SW Hitech,221.161.63.2,22.2.5.806,KM0B98CR2A003K,2023-02-28 1:15,desktop,"SAMSUNG ELECTRONICS CO., LTD. - 400TCA/400SCA",Windows,"Windows 10 Pro,19044",64 bit,16 GB,12,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,12,Online,Connected,Up to date,"Completed( Feb 28, 2023 01:56:18 AM )",192.9.207.76,No,Off,13b16df2534f4735a2b3615ccd6c3086,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-25 22:43,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-SRND-NT103,국내 법인,SUPUB5,N/A,PC Group,공용PC : 수원연구소,SWHITECH,SW Hitech,211.168.174.138,22.2.5.806,5CD241KBGJ,2023-02-28 1:30,laptop,HP - HP ZBook Power 15.6 inch G9 Mobile Workstation PC,Windows,"Windows 10 Pro,19045",64 bit,64 GB,20,12th Gen Intel(R) Core(TM) i7-12700H,20,Offline,Connected,Up to date,"Completed( Feb 28, 2023 02:12:24 AM )",172.16.209.219,No,Off,583ad2281d4a44ab97e56c8bca28b8c2,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-12 23:26,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
SW-AC-NT003,국내 법인,brlee,N/A,PC Group,임원 : 이보람,SWHITECH,SW Hitech,221.161.63.2,22.2.5.806,KPV799YT40006NT,2023-02-28 1:31,laptop,"SAMSUNG ELECTRONICS CO., LTD. - 550XDA",Windows,"Windows 10 Pro,19044",64 bit,16 GB,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,Online,Connected,Up to date,"Completed( Feb 28, 2023 01:53:51 AM )",192.9.207.22,No,Off,8371e5227f3647ea9dcc8cda3b1b81f6,1.63E+18,N/A,N/A,Not disabled,N/A,2023-04-14 0:51,MSI,No,No,disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
